pt,Assigned_Topic
Arthralgia,Musculoskeletal
Arthralgia,Musculoskeletal
Arthralgia,Musculoskeletal
Arthralgia,Musculoskeletal
Arthralgia,Musculoskeletal
Arthralgia,Musculoskeletal
Arthralgia,Musculoskeletal
Arthralgia,Musculoskeletal
Arthralgia,Musculoskeletal
Arthralgia,Musculoskeletal
Arthralgia,Musculoskeletal
Arthralgia,Musculoskeletal
Arthralgia,Musculoskeletal
Arthralgia,Musculoskeletal
Arthralgia,Musculoskeletal
Arthralgia,Musculoskeletal
Arthralgia,Musculoskeletal
Arthralgia,Musculoskeletal
Arthralgia,Musculoskeletal
Arthralgia,Musculoskeletal
Arthralgia,Musculoskeletal
Arthralgia,Musculoskeletal
Arthralgia,Musculoskeletal
Arthralgia,Musculoskeletal
Arthralgia,Musculoskeletal
Arthralgia,Musculoskeletal
Arthralgia,Musculoskeletal
Arthralgia,Musculoskeletal
Anaemia,Other
Anaemia,Other
Anaemia,Other
Anaemia,Other
Anaemia,Other
Anaemia,Other
Anaemia,Other
Anaemia,Other
Anaemia,Other
Anaemia,Other
Anaemia,Other
Anaemia,Other
Anaemia,Other
Abdominal pain,Digestive
Abdominal pain,Digestive
Abdominal pain,Digestive
Abdominal pain,Digestive
Abdominal pain,Digestive
Abdominal pain,Digestive
Abdominal pain,Digestive
Abdominal pain,Digestive
Abdominal pain,Digestive
Abdominal pain,Digestive
Abdominal pain,Digestive
Abdominal pain,Digestive
Abdominal pain,Digestive
Abdominal pain,Digestive
Abdominal pain,Digestive
Abdominal pain,Digestive
Abdominal pain,Digestive
Abdominal pain,Digestive
Abdominal pain,Digestive
Abdominal pain,Digestive
Abdominal pain,Digestive
Abdominal pain,Digestive
Abdominal pain,Digestive
Abdominal pain,Digestive
Abdominal pain,Digestive
Abdominal pain,Digestive
Abdominal pain,Digestive
Abdominal pain,Digestive
Abdominal pain,Digestive
Abdominal pain,Digestive
Allergy test positive,Allergic
Allergy test positive,Allergic
Allergy test positive,Allergic
Abdominal pain,Digestive
Abdominal pain,Digestive
Abdominal pain,Digestive
Abdominal pain,Digestive
Abdominal pain,Digestive
Abdominal pain,Digestive
Abdominal pain,Digestive
Abdominal pain,Digestive
Abdominal pain,Digestive
Abdominal pain,Digestive
Abdominal pain,Digestive
Abdominal pain,Digestive
Abdominal pain,Digestive
Abdominal pain,Digestive
Abdominal pain,Digestive
Abdominal pain,Digestive
Blood pressure decreased,Circulatory
Blood pressure decreased,Circulatory
Blood pressure decreased,Circulatory
Blood pressure decreased,Circulatory
Blood pressure decreased,Circulatory
Blood pressure decreased,Circulatory
Blood pressure decreased,Circulatory
Blood pressure decreased,Circulatory
Blood pressure decreased,Circulatory
Blood pressure decreased,Circulatory
Blood pressure decreased,Circulatory
Blood pressure decreased,Circulatory
Blood pressure decreased,Circulatory
Blood pressure decreased,Circulatory
Blood pressure decreased,Circulatory
Anaphylactic reaction,Allergic
Anaphylactic reaction,Allergic
Anaphylactic reaction,Allergic
Anaphylactic reaction,Allergic
Anaphylactic reaction,Allergic
Anaphylactic reaction,Allergic
Anaphylactic reaction,Allergic
Anaphylactic reaction,Allergic
Anaphylactic reaction,Allergic
Anaphylactic reaction,Allergic
Anaphylactic reaction,Allergic
Anaphylactic reaction,Allergic
Arthralgia,Musculoskeletal
Arthralgia,Musculoskeletal
Arthralgia,Musculoskeletal
Arthralgia,Musculoskeletal
Arthralgia,Musculoskeletal
Arthralgia,Musculoskeletal
Arthralgia,Musculoskeletal
Arthralgia,Musculoskeletal
Arthralgia,Musculoskeletal
Arthralgia,Musculoskeletal
Arthralgia,Musculoskeletal
Arthralgia,Musculoskeletal
Arthralgia,Musculoskeletal
Arthralgia,Musculoskeletal
Arthralgia,Musculoskeletal
Arthralgia,Musculoskeletal
Arthralgia,Musculoskeletal
Arthralgia,Musculoskeletal
Arthralgia,Musculoskeletal
Arthralgia,Musculoskeletal
Arthralgia,Musculoskeletal
Arthralgia,Musculoskeletal
Arthralgia,Musculoskeletal
Arthralgia,Musculoskeletal
Arthralgia,Musculoskeletal
Arthralgia,Musculoskeletal
Arthralgia,Musculoskeletal
Arthralgia,Musculoskeletal
Arthralgia,Musculoskeletal
