pt,Assigned_Topic
Arthralgia,Other
Anaemia,Other
Abdominal pain,Other
Abdominal pain,Other
Abdominal pain,Other
Abdominal pain,Other
Abdominal pain,Other
Abdominal pain,Other
Abdominal pain,Other
Abdominal pain,Other
Abdominal pain,Other
Abdominal pain,Other
Abdominal pain,Other
Abdominal pain,Other
Abdominal pain,Other
Abdominal pain,Other
Allergy test positive,Other
Allergy test positive,Other
Allergy test positive,Other
Abdominal pain,Other
Abdominal pain,Other
Abdominal pain,Other
Abdominal pain,Other
Abdominal pain,Other
Blood pressure decreased,Other
Blood pressure decreased,Other
Blood pressure decreased,Other
Blood pressure decreased,Other
Anaphylactic reaction,Other
Anaphylactic reaction,Other
Anaphylactic reaction,Other
Anaphylactic reaction,Other
Anaphylactic reaction,Other
Anaphylactic reaction,Other
Anaphylactic reaction,Other
Arthralgia,Other
Arthralgia,Other
Arthralgia,Other
Arthralgia,Other
Arthralgia,Other
Arthralgia,Other
Arthralgia,Other
Arthralgia,Other
Arthralgia,Other
Arthralgia,Other
Arthralgia,Other
Arthralgia,Other
Arthralgia,Other
Arthralgia,Other
Arthralgia,Other
Arthralgia,Other
Arthralgia,Other
Arthralgia,Other
Arthralgia,Other
Arthralgia,Other
Arthralgia,Other
Arthralgia,Other
Arthralgia,Other
Abdominal distension,Other
Abdominal distension,Other
Abdominal distension,Other
Abdominal distension,Other
Abdominal distension,Other
Abdominal distension,Other
Abdominal distension,Other
Abdominal distension,Other
Abdominal distension,Other
Abdominal distension,Other
Abdominal distension,Other
Abdominal distension,Other
Abdominal pain,Other
Abdominal pain,Other
Abdominal pain,Other
Abdominal pain,Other
Abdominal pain,Other
Abdominal pain,Other
Abdominal pain,Other
Anxiety,Other
Anxiety,Other
Anxiety,Other
Abdominal discomfort,Other
Abdominal discomfort,Other
Abdominal discomfort,Other
Abdominal discomfort,Other
Allergic sinusitis,Other
Allergic sinusitis,Other
Allergic sinusitis,Other
Allergic sinusitis,Other
Allergic sinusitis,Other
Allergic sinusitis,Other
Allergic sinusitis,Other
Angioedema,Other
Angioedema,Other
Angioedema,Other
Angioedema,Other
Angioedema,Other
Angioedema,Other
Adrenal disorder,Other
Adrenal disorder,Other
Adrenal disorder,Other
Adrenal disorder,Other
Adrenal disorder,Other
Adrenal disorder,Other
Adrenal disorder,Other
Adrenal disorder,Other
Adrenal disorder,Other
Blood pressure diastolic decreased,Other
Blood pressure diastolic decreased,Other
Blood pressure diastolic decreased,Other
Blood pressure diastolic decreased,Other
Blood pressure diastolic decreased,Other
Blood pressure diastolic decreased,Other
Blood pressure diastolic decreased,Other
Blood pressure diastolic decreased,Other
Blood pressure diastolic decreased,Other
Blood pressure diastolic decreased,Other
Blood pressure diastolic decreased,Other
Blood pressure diastolic decreased,Other
Blood pressure diastolic decreased,Other
Blood pressure diastolic decreased,Other
Agitation,Other
Agitation,Other
Agitation,Other
Agitation,Other
Agitation,Other
Agitation,Other
Agitation,Other
Agitation,Other
Agitation,Other
Agitation,Other
Agitation,Other
Agitation,Other
Asthmatic crisis,Other
Asthmatic crisis,Other
Asthmatic crisis,Other
Asthenia,Other
Asthenia,Other
Asthenia,Other
Asthenia,Other
Asthenia,Other
Angioedema,Other
Angioedema,Other
Angioedema,Other
Angioedema,Other
Angioedema,Other
Angioedema,Other
Angioedema,Other
Angioedema,Other
Angioedema,Other
Angioedema,Other
Angioedema,Other
Angioedema,Other
Angioedema,Other
Angioedema,Other
Angioedema,Other
Accident,Other
Accident,Other
Accident,Other
Accident,Other
Accident,Other
Accident,Other
Accident,Other
Accident,Other
Accident,Other
Accident,Other
Accident,Other
Accident,Other
Accident,Other
Accident,Other
Accident,Other
Accident,Other
Arthralgia,Other
Arthralgia,Other
Asthma,Other
Food allergy,Other
Asthma,Other
Asthma,Other
Asthma,Other
Asthma,Other
Asthma,Other
Asthma,Other
Asthenia,Other
Asthenia,Other
Arthralgia,Other
Arthralgia,Other
Arthralgia,Other
Arthralgia,Other
Asthma,Other
Anxiety,Other
Anxiety,Other
Anxiety,Other
Anxiety,Other
Anxiety,Other
Anxiety,Other
Anxiety,Other
Anxiety,Other
Anxiety,Other
Anxiety,Other
Anxiety,Other
Anxiety,Other
Anxiety,Other
Anxiety,Other
Anxiety,Other
Anxiety,Other
Allergy to animal,Other
Allergy to animal,Other
Allergy to animal,Other
Alcohol abuse,Other
Alcohol abuse,Other
Alcohol abuse,Other
Alcohol abuse,Other
Arthralgia,Other
Arthralgia,Other
Arthralgia,Other
Arthralgia,Other
Arthralgia,Other
Arthralgia,Other
Arthralgia,Other
Arthralgia,Other
Arthralgia,Other
Arthralgia,Other
Arthralgia,Other
Asthma,Other
Asthma,Other
Asthma,Other
Asthma,Other
Asthma,Other
Asthma,Other
Asthma,Other
Asthma,Other
Asthma,Other
Accident,Other
Accident,Other
Accident,Other
Asthma,Other
Asthma,Other
Asthma,Other
Asthma,Other
Asthma,Other
Arthralgia,Other
Arthralgia,Other
Arthralgia,Other
Abdominal pain upper,Other
Abdominal pain upper,Other
Abdominal pain upper,Other
Abdominal pain upper,Other
Abdominal pain upper,Other
Aphonia,Other
Aphonia,Other
Aphonia,Other
Aphonia,Other
Aphonia,Other
Aphonia,Other
Aphonia,Other
Aphonia,Other
Asthenia,Other
Asthma,Other
Anosmia,Other
Anosmia,Other
Anosmia,Other
Anosmia,Other
Anosmia,Other
Anosmia,Other
Anosmia,Other
Anosmia,Other
Allergy to animal,Other
Allergy to animal,Other
Allergy to animal,Other
Allergy to animal,Other
Allergy to animal,Other
Allergy to animal,Other
Allergy to animal,Other
Allergy to animal,Other
Asthma,Other
Asthma,Other
Asthma,Other
Asthma,Other
Asthma,Other
Asthma,Other
Asthma,Other
Asthma,Other
Arthralgia,Other
Arthralgia,Other
Arthralgia,Other
Arthralgia,Other
Arthralgia,Other
Arthralgia,Other
Arthralgia,Other
Arthralgia,Other
Arthralgia,Other
Arthralgia,Other
Arthralgia,Other
Arthralgia,Other
Arthralgia,Other
Arthralgia,Other
Arthralgia,Other
Arthralgia,Other
Arthralgia,Other
Arthralgia,Other
Arthralgia,Other
Arthralgia,Other
Arthralgia,Other
Arthralgia,Other
Arthralgia,Other
Asthenia,Other
Asthenia,Other
Asthenia,Other
Asphyxia,Other
Asphyxia,Other
Asphyxia,Other
Asphyxia,Other
Asphyxia,Other
Asphyxia,Other
Asphyxia,Other
Asphyxia,Other
Asphyxia,Other
Asphyxia,Other
Asphyxia,Other
Asphyxia,Other
Asphyxia,Other
Asphyxia,Other
Asphyxia,Other
Abdominal pain,Other
Abdominal pain,Other
Abdominal pain,Other
Abdominal pain,Other
Abdominal pain,Other
Anosmia,Other
Anosmia,Other
Anosmia,Other
Anosmia,Other
Anosmia,Other
Anosmia,Other
Asthma,Other
Asthma,Other
Asthma,Other
Asthma,Other
Asthma,Other
Asthma,Other
Asthma,Other
Asthma,Other
Abdominal pain upper,Other
Abdominal pain upper,Other
Anxiety,Other
Anxiety,Other
Anxiety,Other
Anxiety,Other
Amnesia,Other
Amnesia,Other
Amnesia,Other
Allergic respiratory disease,Other
Allergic respiratory disease,Other
Allergic respiratory disease,Other
Allergic respiratory disease,Other
Allergic respiratory disease,Other
Asthma,Other
Allergy to plants,Other
Allergy to plants,Other
Allergy to plants,Other
Allergy to plants,Other
Allergy to plants,Other
Allergy to plants,Other
Allergy to plants,Other
Asthma,Other
Asthma,Other
Asthma,Other
Asthma,Other
Asthma,Other
Asthma,Other
Asthenia,Other
Asthenia,Other
Asthenia,Other
Asthenia,Other
Asthenia,Other
Asthenia,Other
Asthenia,Other
Asthenia,Other
Asthenia,Other
Asthenia,Other
Asthenia,Other
Asthenia,Other
Asthenia,Other
Asthenia,Other
Asthenia,Other
Body temperature increased,Other
Body temperature increased,Other
Body temperature increased,Other
Body temperature increased,Other
Asthma,Other
Blood pressure decreased,Other
Blood pressure decreased,Other
Blood pressure decreased,Other
Asthma,Other
Asthma,Other
Asthma,Other
Asthma,Other
Asthma,Other
Asthma,Other
Asthma,Other
Asthma,Other
Asthma,Other
Asthma,Other
Asthma,Other
Arthralgia,Other
Arthralgia,Other
Arthralgia,Other
Arthralgia,Other
Arthralgia,Other
Arthralgia,Other
Arthralgia,Other
Abdominal pain,Other
Abdominal pain,Other
Abdominal pain,Other
Abdominal pain,Other
Anxiety,Other
Anxiety,Other
Arthralgia,Other
Arthralgia,Other
Arthralgia,Other
Arthralgia,Other
Arthralgia,Other
Arthralgia,Other
Arthralgia,Other
Arthralgia,Other
Arthralgia,Other
Arthralgia,Other
Arthralgia,Other
Asthenia,Other
Accidental exposure to product,Other
Accidental exposure to product,Other
Accidental exposure to product,Other
Accidental exposure to product,Other
Accidental exposure to product,Other
Accidental exposure to product,Other
Accidental exposure to product,Other
Accidental exposure to product,Other
Accidental exposure to product,Other
Accidental exposure to product,Other
Accidental exposure to product,Other
Accidental exposure to product,Other
Accidental exposure to product,Other
Accidental exposure to product,Other
Accidental exposure to product,Other
Accidental exposure to product,Other
Accidental exposure to product,Other
Accidental exposure to product,Other
Accidental exposure to product,Other
Accidental exposure to product,Other
Accidental exposure to product,Other
Accidental exposure to product,Other
Accidental exposure to product,Other
Accidental exposure to product,Other
Accidental exposure to product,Other
Accidental exposure to product,Other
Accidental exposure to product,Other
Accidental exposure to product,Other
Accidental exposure to product,Other
Asthma,Other
Asthma,Other
Asthma,Other
Asthma,Other
Abdominal pain,Other
Abdominal pain,Other
Abdominal pain,Other
Abdominal pain,Other
Abdominal pain,Other
Abdominal pain,Other
Abdominal pain,Other
Abdominal pain,Other
Abdominal pain,Other
Abdominal pain,Other
Abdominal pain,Other
Abdominal pain,Other
Abdominal pain,Other
Abdominal pain,Other
Abdominal pain,Other
Abdominal pain,Other
Abdominal pain,Other
Abdominal pain,Other
Abdominal pain,Other
Abdominal pain,Other
Abdominal pain,Other
Abdominal pain,Other
Abdominal pain,Other
Abdominal pain,Other
Abdominal pain,Other
Abdominal pain,Other
Abdominal pain,Other
Abdominal pain,Other
Abdominal pain,Other
Angioedema,Other
Angioedema,Other
Asthma,Other
Asthma,Other
Asthma,Other
Angina pectoris,Other
Angina pectoris,Other
Angina pectoris,Other
Abdominal discomfort,Other
Abdominal discomfort,Other
Abdominal discomfort,Other
Abdominal discomfort,Other
